# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7235
#@/user_id	ISuthRain
dao shu 	倒數	c=0 d=0.0980199 t=7235
dao shu ri 	倒數日	c=1 d=0.985112 t=7235
dao tou 	到頭	c=1 d=0.0792617 t=7235
dao wo 	到我	c=1 d=0.0218184 t=7235
dao zhi 	導致	c=3 d=0.822835 t=7235
dao zhi de 	導致的	c=1 d=0.937067 t=7235
de 	得	c=1 d=0.00565622 t=7235
de 	德	c=1 d=1 t=7068
de 	的	c=317 d=11.4408 t=7235
de dao 	得到	c=1 d=0.0977834 t=7235
de gu la 	德古拉	c=1 d=0.14808 t=7235
de hua 	的話	c=1 d=0.386741 t=7235
de ji ge 	的幾個	c=1 d=0.159614 t=7235
de le 	得了	c=1 d=0.0365162 t=7235
de li 	得利	c=0 d=0.07864 t=7235
de li na ge 	得利那個	c=1 d=0.562705 t=7235
de li zhe 	得利者	c=1 d=0.615697 t=7235
deng 	等	c=3 d=0.592262 t=7235
deng dai 	等待	c=1 d=0.0987662 t=7235
deng hui 	等會	c=2 d=0.209224 t=7235
deng lu 	登錄	c=2 d=0.70568 t=7235
deng ni 	等你	c=1 d=0.1764 t=7235
deng xia 	等下	c=2 d=0.121767 t=7235
deng zhe 	等着	c=1 d=0.0459593 t=7235
di 	低	c=1 d=0.386741 t=7235
di 	地	c=1 d=0.440432 t=7235
di 	弟	c=0 d=0.0637628 t=7235
di 	滴	c=2 d=0.358796 t=7235
di 	迪	c=1 d=0.995012 t=7235
di diao 	低調	c=1 d=0.26054 t=7235
di er ji 	第二季	c=1 d=1 t=7004
di ren 	敵人	c=1 d=0.980199 t=7235
di si ban 	第四版	c=1 d=0.882497 t=7235
di wei 	地位	c=1 d=0.035437 t=7235
di yi 	第一	c=1 d=0.0632918 t=7235
di yi bi 	第一筆	c=2 d=0.0677892 t=7235
di yi ci 	第一次	c=1 d=0.036334 t=7235
di yi ge 	第一個	c=2 d=0.945222 t=7235
di yi hang 	第一行	c=1 d=0.995012 t=7235
di yi ji 	第一季	c=1 d=1 t=6992
di yu 	低於	c=1 d=0.22091 t=7235
dian 	電	c=2 d=0.474734 t=7235
dian 	點	c=8 d=1.17799 t=7235
dian a 	殿呵	c=1 d=0.690734 t=7235
dian bei 	點唄	c=1 d=0.375311 t=7235
dian biao 	電錶	c=1 d=1 t=6954
dian chi 	電池	c=3 d=0.942956 t=7235
dian feng 	巔峯	c=1 d=0.0629761 t=7235
dian hua 	電話	c=2 d=0.0207757 t=7235
dian liang 	點亮	c=2 d=0.7259 t=7235
dian lu 	電路	c=2 d=0.909537 t=7235
dian nao 	電腦	c=7 d=1.03851 t=7235
dian pu 	店鋪	c=1 d=0.0492917 t=7235
dian ying 	電影	c=4 d=1.19239 t=7235
diao 	掉	c=1 d=0.0581343 t=7235
ding 	定	c=1 d=0.105399 t=7235
ding 	頂	c=1 d=0.293758 t=7235
ding ji 	頂級	c=2 d=0.198891 t=7235
ding ji cheng xu yuan 	頂級程序員	c=1 d=0.0337087 t=7235
ding ju 	定局	c=1 d=0.0968105 t=7235
ding li 	鼎力	c=1 d=0.0550232 t=7235
ding xia lai 	定下來	c=1 d=0.447088 t=7235
ding yi 	定義	c=3 d=0.878183 t=7235
ding yue 	訂閱	c=6 d=3.16744 t=7235
dong 	懂	c=4 d=1.31224 t=7235
dong li 	動力	c=1 d=0.390628 t=7235
dong ma 	懂嗎	c=1 d=0.532592 t=7235
dong man 	動漫	c=6 d=1.38291 t=7235
dong tian 	冬天	c=2 d=0.390891 t=7235
dong xi 	東西	c=4 d=0.321211 t=7235
dou 	都	c=33 d=2.51476 t=7235
dou 	鬥	c=1 d=0.606531 t=7235
dou bu 	都不	c=0 d=0.0208045 t=7235
dou bu dian 	都不點	c=1 d=0.209088 t=7235
dou bu neng 	都不能	c=1 d=0.304221 t=7235
dou bu xi huan 	都不喜歡	c=1 d=0.0898153 t=7235
dou bu zhi dao 	都不知道	c=1 d=0.683861 t=7235
dou ke yi 	都可以	c=1 d=0.0495388 t=7235
dou mei 	都沒	c=2 d=0.381054 t=7235
dou mei you 	都沒有	c=2 d=0.221893 t=7235
dou neng 	都能	c=1 d=0.225373 t=7235
dou ou 	鬥毆	c=0 d=0.00569831 t=7235
dou ou she me 	鬥毆什麼	c=1 d=0.0572688 t=7235
